PID 18738: granted    LOCK_EX at 21:17:57
PID 18740: granted    LOCK_EX at 21:18:02
PID 18741: granted    LOCK_EX at 21:18:03
PID 18742: granted    LOCK_EX at 21:18:04
PID 18743: granted    LOCK_EX at 21:18:05
PID 18744: granted    LOCK_EX at 21:18:06
PID 18752: granted    LOCK_SH at 21:18:07
PID 18749: granted    LOCK_SH at 21:18:07
PID 18748: granted    LOCK_SH at 21:18:07
PID 18751: granted    LOCK_SH at 21:18:07
PID 18750: granted    LOCK_SH at 21:18:07
